relative_path,label
Paper/Paper_191.jpg,Paper
Plastic/Plastic_329.jpg,Plastic
Food Organics/Food Organics_287.jpg,Food Organics
Metal/Metal_179.jpg,Metal
Cardboard/Cardboard_285.jpg,Cardboard
Textile Trash/Textile Trash_135.jpg,Textile Trash
Plastic/Plastic_349.jpg,Plastic
Vegetation/Vegetation_142.jpg,Vegetation
Textile Trash/Textile Trash_150.jpg,Textile Trash
Metal/Metal_662.jpg,Metal
Plastic/Plastic_559.jpg,Plastic
Cardboard/Cardboard_108.jpg,Cardboard
Glass/Glass_352.jpg,Glass
Glass/Glass_259.jpg,Glass
Miscellaneous Trash/Miscellaneous Trash_398.jpg,Miscellaneous Trash
Plastic/Plastic_37.jpg,Plastic
Cardboard/Cardboard_322.jpg,Cardboard
Glass/Glass_349.jpg,Glass
Textile Trash/Textile Trash_101.jpg,Textile Trash
Glass/Glass_383.jpg,Glass
Vegetation/Vegetation_229.jpg,Vegetation
Textile Trash/Textile Trash_163.jpg,Textile Trash
Food Organics/Food Organics_49.jpg,Food Organics
Plastic/Plastic_89.jpg,Plastic
Plastic/Plastic_458.jpg,Plastic
Metal/Metal_170.jpg,Metal
Plastic/Plastic_431.jpg,Plastic
Food Organics/Food Organics_202.jpg,Food Organics
Plastic/Plastic_899.jpg,Plastic
Vegetation/Vegetation_295.jpg,Vegetation
Paper/Paper_238.jpg,Paper
Food Organics/Food Organics_245.jpg,Food Organics
Food Organics/Food Organics_410.jpg,Food Organics
Paper/Paper_139.jpg,Paper
Plastic/Plastic_747.jpg,Plastic
Cardboard/Cardboard_396.jpg,Cardboard
Plastic/Plastic_291.jpg,Plastic
Metal/Metal_167.jpg,Metal
Food Organics/Food Organics_268.jpg,Food Organics
Metal/Metal_502.jpg,Metal
Metal/Metal_205.jpg,Metal
Metal/Metal_371.jpg,Metal
Metal/Metal_481.jpg,Metal
Metal/Metal_556.jpg,Metal
Textile Trash/Textile Trash_64.jpg,Textile Trash
Plastic/Plastic_269.jpg,Plastic
Plastic/Plastic_615.jpg,Plastic
Textile Trash/Textile Trash_279.jpg,Textile Trash
Vegetation/Vegetation_405.jpg,Vegetation
Textile Trash/Textile Trash_310.jpg,Textile Trash
Plastic/Plastic_133.jpg,Plastic
Metal/Metal_526.jpg,Metal
Paper/Paper_293.jpg,Paper
Cardboard/Cardboard_214.jpg,Cardboard
Textile Trash/Textile Trash_145.jpg,Textile Trash
Plastic/Plastic_528.jpg,Plastic
Vegetation/Vegetation_260.jpg,Vegetation
Plastic/Plastic_105.jpg,Plastic
Metal/Metal_25.jpg,Metal
Plastic/Plastic_856.jpg,Plastic
Cardboard/Cardboard_367.jpg,Cardboard
Miscellaneous Trash/Miscellaneous Trash_209.jpg,Miscellaneous Trash
Textile Trash/Textile Trash_301.jpg,Textile Trash
Plastic/Plastic_501.jpg,Plastic
Glass/Glass_109.jpg,Glass
Metal/Metal_665.jpg,Metal
Plastic/Plastic_414.jpg,Plastic
Vegetation/Vegetation_144.jpg,Vegetation
Cardboard/Cardboard_154.jpg,Cardboard
Cardboard/Cardboard_94.jpg,Cardboard
Metal/Metal_467.jpg,Metal
Textile Trash/Textile Trash_311.jpg,Textile Trash
Metal/Metal_180.jpg,Metal
Miscellaneous Trash/Miscellaneous Trash_155.jpg,Miscellaneous Trash
Textile Trash/Textile Trash_86.jpg,Textile Trash
Metal/Metal_184.jpg,Metal
Vegetation/Vegetation_223.jpg,Vegetation
Metal/Metal_176.jpg,Metal
Vegetation/Vegetation_85.jpg,Vegetation
Food Organics/Food Organics_256.jpg,Food Organics
Plastic/Plastic_505.jpg,Plastic
Glass/Glass_33.jpg,Glass
Paper/Paper_15.jpg,Paper
Food Organics/Food Organics_326.jpg,Food Organics
Paper/Paper_61.jpg,Paper
Plastic/Plastic_804.jpg,Plastic
Plastic/Plastic_61.jpg,Plastic
Miscellaneous Trash/Miscellaneous Trash_434.jpg,Miscellaneous Trash
Cardboard/Cardboard_241.jpg,Cardboard
Plastic/Plastic_251.jpg,Plastic
Cardboard/Cardboard_44.jpg,Cardboard
Plastic/Plastic_3.jpg,Plastic
Miscellaneous Trash/Miscellaneous Trash_335.jpg,Miscellaneous Trash
Vegetation/Vegetation_315.jpg,Vegetation
Miscellaneous Trash/Miscellaneous Trash_351.jpg,Miscellaneous Trash
Glass/Glass_40.jpg,Glass
Cardboard/Cardboard_308.jpg,Cardboard
Plastic/Plastic_810.jpg,Plastic
Paper/Paper_258.jpg,Paper
Cardboard/Cardboard_19.jpg,Cardboard
Plastic/Plastic_297.jpg,Plastic
Food Organics/Food Organics_336.jpg,Food Organics
Metal/Metal_638.jpg,Metal
Vegetation/Vegetation_57.jpg,Vegetation
Plastic/Plastic_360.jpg,Plastic
Miscellaneous Trash/Miscellaneous Trash_121.jpg,Miscellaneous Trash
Vegetation/Vegetation_377.jpg,Vegetation
Textile Trash/Textile Trash_178.jpg,Textile Trash
Metal/Metal_204.jpg,Metal
Metal/Metal_601.jpg,Metal
Plastic/Plastic_650.jpg,Plastic
Glass/Glass_255.jpg,Glass
Cardboard/Cardboard_93.jpg,Cardboard
Metal/Metal_711.jpg,Metal
Paper/Paper_159.jpg,Paper
Plastic/Plastic_98.jpg,Plastic
Paper/Paper_286.jpg,Paper
Miscellaneous Trash/Miscellaneous Trash_146.jpg,Miscellaneous Trash
Metal/Metal_69.jpg,Metal
Plastic/Plastic_491.jpg,Plastic
Paper/Paper_53.jpg,Paper
Paper/Paper_430.jpg,Paper
Glass/Glass_246.jpg,Glass
Plastic/Plastic_365.jpg,Plastic
Cardboard/Cardboard_54.jpg,Cardboard
Metal/Metal_368.jpg,Metal
Vegetation/Vegetation_304.jpg,Vegetation
Metal/Metal_45.jpg,Metal
Plastic/Plastic_897.jpg,Plastic
Cardboard/Cardboard_150.jpg,Cardboard
Glass/Glass_152.jpg,Glass
Plastic/Plastic_638.jpg,Plastic
Plastic/Plastic_296.jpg,Plastic
Cardboard/Cardboard_394.jpg,Cardboard
Glass/Glass_87.jpg,Glass
Vegetation/Vegetation_288.jpg,Vegetation
Glass/Glass_297.jpg,Glass
Vegetation/Vegetation_81.jpg,Vegetation
Food Organics/Food Organics_32.jpg,Food Organics
Metal/Metal_182.jpg,Metal
Plastic/Plastic_632.jpg,Plastic
Plastic/Plastic_70.jpg,Plastic
Vegetation/Vegetation_159.jpg,Vegetation
Miscellaneous Trash/Miscellaneous Trash_329.jpg,Miscellaneous Trash
Plastic/Plastic_713.jpg,Plastic
Metal/Metal_659.jpg,Metal
Metal/Metal_246.jpg,Metal
Metal/Metal_419.jpg,Metal
Miscellaneous Trash/Miscellaneous Trash_409.jpg,Miscellaneous Trash
Plastic/Plastic_548.jpg,Plastic
Glass/Glass_399.jpg,Glass
Cardboard/Cardboard_175.jpg,Cardboard
Food Organics/Food Organics_238.jpg,Food Organics
Metal/Metal_14.jpg,Metal
Plastic/Plastic_310.jpg,Plastic
Paper/Paper_340.jpg,Paper
Metal/Metal_271.jpg,Metal
Plastic/Plastic_564.jpg,Plastic
Paper/Paper_223.jpg,Paper
Miscellaneous Trash/Miscellaneous Trash_277.jpg,Miscellaneous Trash
Miscellaneous Trash/Miscellaneous Trash_153.jpg,Miscellaneous Trash
Plastic/Plastic_655.jpg,Plastic
Paper/Paper_439.jpg,Paper
Paper/Paper_182.jpg,Paper
Plastic/Plastic_170.jpg,Plastic
Plastic/Plastic_571.jpg,Plastic
Textile Trash/Textile Trash_297.jpg,Textile Trash
Food Organics/Food Organics_155.jpg,Food Organics
Plastic/Plastic_295.jpg,Plastic
Paper/Paper_141.jpg,Paper
Metal/Metal_219.jpg,Metal
Paper/Paper_120.jpg,Paper
Paper/Paper_235.jpg,Paper
Vegetation/Vegetation_227.jpg,Vegetation
Plastic/Plastic_470.jpg,Plastic
Textile Trash/Textile Trash_24.jpg,Textile Trash
Plastic/Plastic_1.jpg,Plastic
Vegetation/Vegetation_41.jpg,Vegetation
Plastic/Plastic_118.jpg,Plastic
Cardboard/Cardboard_342.jpg,Cardboard
Textile Trash/Textile Trash_134.jpg,Textile Trash
Cardboard/Cardboard_401.jpg,Cardboard
Metal/Metal_418.jpg,Metal
Paper/Paper_500.jpg,Paper
Metal/Metal_326.jpg,Metal
Food Organics/Food Organics_149.jpg,Food Organics
Metal/Metal_354.jpg,Metal
Vegetation/Vegetation_309.jpg,Vegetation
Food Organics/Food Organics_65.jpg,Food Organics
Vegetation/Vegetation_261.jpg,Vegetation
Metal/Metal_65.jpg,Metal
Plastic/Plastic_465.jpg,Plastic
Cardboard/Cardboard_318.jpg,Cardboard
Metal/Metal_12.jpg,Metal
Paper/Paper_136.jpg,Paper
Plastic/Plastic_235.jpg,Plastic
Plastic/Plastic_783.jpg,Plastic
Metal/Metal_531.jpg,Metal
Metal/Metal_616.jpg,Metal
Cardboard/Cardboard_427.jpg,Cardboard
Metal/Metal_384.jpg,Metal
Paper/Paper_278.jpg,Paper
Textile Trash/Textile Trash_106.jpg,Textile Trash
Food Organics/Food Organics_371.jpg,Food Organics
Plastic/Plastic_255.jpg,Plastic
Metal/Metal_672.jpg,Metal
Metal/Metal_202.jpg,Metal
Vegetation/Vegetation_29.jpg,Vegetation
Plastic/Plastic_181.jpg,Plastic
Miscellaneous Trash/Miscellaneous Trash_331.jpg,Miscellaneous Trash
Cardboard/Cardboard_149.jpg,Cardboard
Metal/Metal_610.jpg,Metal
Paper/Paper_438.jpg,Paper
Miscellaneous Trash/Miscellaneous Trash_239.jpg,Miscellaneous Trash
Metal/Metal_367.jpg,Metal
Paper/Paper_77.jpg,Paper
Food Organics/Food Organics_246.jpg,Food Organics
Miscellaneous Trash/Miscellaneous Trash_18.jpg,Miscellaneous Trash
Vegetation/Vegetation_347.jpg,Vegetation
Plastic/Plastic_833.jpg,Plastic
Textile Trash/Textile Trash_235.jpg,Textile Trash
Cardboard/Cardboard_133.jpg,Cardboard
Plastic/Plastic_372.jpg,Plastic
Plastic/Plastic_294.jpg,Plastic
Plastic/Plastic_355.jpg,Plastic
Glass/Glass_353.jpg,Glass
Metal/Metal_564.jpg,Metal
Vegetation/Vegetation_402.jpg,Vegetation
Cardboard/Cardboard_68.jpg,Cardboard
Miscellaneous Trash/Miscellaneous Trash_382.jpg,Miscellaneous Trash
Plastic/Plastic_866.jpg,Plastic
Plastic/Plastic_565.jpg,Plastic
Cardboard/Cardboard_389.jpg,Cardboard
Miscellaneous Trash/Miscellaneous Trash_340.jpg,Miscellaneous Trash
Metal/Metal_26.jpg,Metal
Miscellaneous Trash/Miscellaneous Trash_420.jpg,Miscellaneous Trash
Glass/Glass_304.jpg,Glass
Glass/Glass_10.jpg,Glass
Glass/Glass_163.jpg,Glass
Plastic/Plastic_743.jpg,Plastic
Cardboard/Cardboard_353.jpg,Cardboard
Cardboard/Cardboard_437.jpg,Cardboard
Paper/Paper_58.jpg,Paper
Vegetation/Vegetation_99.jpg,Vegetation
Glass/Glass_313.jpg,Glass
Food Organics/Food Organics_89.jpg,Food Organics
Metal/Metal_250.jpg,Metal
Paper/Paper_217.jpg,Paper
Miscellaneous Trash/Miscellaneous Trash_117.jpg,Miscellaneous Trash
Cardboard/Cardboard_135.jpg,Cardboard
Metal/Metal_197.jpg,Metal
Metal/Metal_67.jpg,Metal
Metal/Metal_766.jpg,Metal
Food Organics/Food Organics_23.jpg,Food Organics
Plastic/Plastic_489.jpg,Plastic
Metal/Metal_464.jpg,Metal
Miscellaneous Trash/Miscellaneous Trash_109.jpg,Miscellaneous Trash
Food Organics/Food Organics_351.jpg,Food Organics
Plastic/Plastic_840.jpg,Plastic
Miscellaneous Trash/Miscellaneous Trash_178.jpg,Miscellaneous Trash
Metal/Metal_106.jpg,Metal
Glass/Glass_32.jpg,Glass
Plastic/Plastic_520.jpg,Plastic
Cardboard/Cardboard_373.jpg,Cardboard
Miscellaneous Trash/Miscellaneous Trash_167.jpg,Miscellaneous Trash
Metal/Metal_225.jpg,Metal
Paper/Paper_198.jpg,Paper
Food Organics/Food Organics_298.jpg,Food Organics
Plastic/Plastic_569.jpg,Plastic
Cardboard/Cardboard_107.jpg,Cardboard
